code,name,date,close,scale,type,slope_standard
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-06,0.828,2.26,QDII,-0.13462270656933867
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-07,0.821,2.26,QDII,-0.129140273225322
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-10,0.823,2.26,QDII,-0.1284938221854616
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-11,0.829,2.26,QDII,-0.12184314993567874
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-12,0.815,2.26,QDII,-0.1273269156402491
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-13,0.847,2.26,QDII,-0.1064893805886177
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-14,0.841,2.26,QDII,-0.06687980361585232
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-17,0.831,2.26,QDII,-0.039606065456957724
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-18,0.836,2.26,QDII,-0.022408988882981276
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-19,0.827,2.26,QDII,-0.026972901392579466
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-20,0.824,2.26,QDII,-0.0326502751124009
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-21,0.841,2.26,QDII,-0.026158755059157403
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-24,0.843,2.26,QDII,-0.028573813926211764
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-25,0.856,2.26,QDII,-0.028618387412750412
159616,建信中证农牧主题ETF行情,2023-06-28,0.758,1.02,指数型-股票,-0.04747288217407465
159616,建信中证农牧主题ETF行情,2023-06-29,0.756,1.02,指数型-股票,-0.05252776481883404
